2023-11-14 11:17:25.035 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-14 11:17:25.037 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.7 on FULL8-019 with PID 18836 (D:\kyo\pro\pro05\build\classes\java\main started by db400tea in D:\kyo\pro\pro05)
2023-11-14 11:17:25.046 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-14 11:17:25.205 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-14 11:17:25.206 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-14 11:17:25.889 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-14 11:17:25.893 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-14 11:17:25.893 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-14 11:17:25.893 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-14 11:17:25.935 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-14 11:17:25.935 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 728 ms
2023-11-14 11:17:26.249 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7f7c5fdd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2ab2d725, org.springframework.security.web.context.SecurityContextPersistenceFilter@1b4b2803, org.springframework.security.web.header.HeaderWriterFilter@76b5b5e5, org.springframework.security.web.authentication.logout.LogoutFilter@5f2bfc60, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@cd9d66c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1ac4dda4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@39733c39, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@14d1c5fa, org.springframework.security.web.session.SessionManagementFilter@40ea594a, org.springframework.security.web.access.ExceptionTranslationFilter@44a16cf1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3fb31b1f]
2023-11-14 11:17:26.383 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-14 11:17:26.393 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-14 11:17:26.403 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-14 11:17:26.410 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 1.57 seconds (JVM running for 2.079)
2023-11-14 11:17:35.007 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-14 11:17:35.007 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-14 11:17:35.007 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-14 11:19:16.083 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-14 11:19:16.083 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.7 on FULL8-019 with PID 16192 (D:\kyo\pro\pro05\build\classes\java\main started by db400tea in D:\kyo\pro\pro05)
2023-11-14 11:19:16.085 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
